,순번,시순구코드,시군구명_한글,시군구명_영어,위도,경도
0,1,11320,도봉구,Dobong-gu,37.665861,127.031767
1,2,11380,은평구,Eunpyeong-gu,37.617612,126.9227
2,3,11230,동대문구,Dongdaemun-gu,37.583801,127.0507
3,4,11590,동작구,Dongjak-gu,37.496504,126.944307
4,5,11545,금천구,Geumcheon-gu,37.460097,126.900155
5,6,11530,구로구,Guro-gu,37.495486,126.858121
6,7,11110,종로구,Jongno-gu,37.5991,126.986149
7,8,11305,강북구,Gangbuk-gu,37.646995,127.014716
8,9,11260,중랑구,Jungnang-gu,37.595379,127.093967
9,10,11680,강남구,Gangnam-gu,37.495985,127.066409
10,11,11500,강서구,Gangseo-gu,37.565762,126.822656
11,12,11140,중구,Jung-gu,37.557945,126.99419
12,13,11740,강동구,Gangdong-gu,37.549208,127.146482
13,14,11215,광진구,Gwangjin-gu,37.548144,127.085753
14,15,11440,마포구,Mapo-gu,37.562291,126.90878
15,16,11650,서초구,Seocho-gu,37.476953,127.03781
16,17,11290,성북구,Seongbuk-gu,37.606991,127.023218
17,18,11350,노원구,Nowon-gu,37.655264,127.07712
18,19,11710,송파구,Songpa-gu,37.504853,127.114482
19,20,11410,서대문구,Seodaemun-gu,37.582037,126.935666
20,21,11470,양천구,Yangcheon-gu,37.527062,126.856153
21,22,11560,영등포구,Yeongdeungpo-gu,37.520641,126.913924
22,23,11620,관악구,Gwanak-gu,37.465399,126.943807
23,24,11200,성동구,Seongdong-gu,37.550675,127.040962
24,25,11170,용산구,Yongsan-gu,37.531101,126.981074
